id,Country,RegionOfOrigin,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
119,BAHAMAS,Other not classified,30,34,74,77,70,14,13,17,2.2,0.6,0.4,0.3,0.3,0.3,0.3,0.4,0.7,0.6,0.6,0.9,1.2,0.9,2.3,1.9,0.9
121,BAHRAIN,Africa,10,12,18,22,26,32,39,47,60,76,82,99,109,..,..,..,100,114,124,132.5,..,..,..,15.2,7.7
122,BAHRAIN,Americas,79,77,86,97,102,121,139,177,192,200,190,234,267,..,..,..,291,326,335,345.3,62,55,48.8,50.5,61
123,BAHRAIN,East Asia and the Pacific,75,84,83,97,101,107,135,187,212,268,287,374,390,..,..,..,339,367,335,378.4,143,112,74.9,25,6.4
124,BAHRAIN,Europe,156,148,173,179,191,216,235,256,260,334,358,430,507,..,..,..,513,541,552,579.8,146,162,203.9,179.6,185.9
125,BAHRAIN,Middle East,1782,1474,2018,2242,2561,3060,3447,3642,3559,4141,4676,5210,5451,..,..,..,4276,5333,6423,7494.7,9312,9823,11031.7,11709.2,10770.2
126,BAHRAIN,South Asia,209,193,222,261,299,332,392,522,561,648,720,942,1109,..,..,..,1213,1381,1394,1521.3,..,..,..,65.2,29.8
127,BAHRAIN,Other not classified,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,6,14.7,..,..
129,BANGLADESH,Africa,1,1,1,2,2,2,2,1,2,2,2,2,2,..,..,..,..,..,..,..,..,..,..,..,..
130,BANGLADESH,Americas,13,14,15,16,12,15,19,18,31,37,19,25,46,..,..,7.1,6.8,6.7,5,6,4.1,5.2,6.8,8.6,8.8
131,BANGLADESH,East Asia and the Pacific,26,30,34,36,35,38,38,41,43,51,36,37,57,..,..,12,13.1,14,12,15.5,9,11.9,15.4,16.6,17.3
132,BANGLADESH,Europe,49,51,48,37,40,46,50,47,64,77,49,57,77,..,..,5.3,5.3,4.5,3.5,4.2,2.5,3.5,4.6,5,3.7
133,BANGLADESH,Middle East,3,3,2,4,5,4,4,3,3,3,3,4,5,..,..,..,..,..,0.3,0.6,0.8,2.3,1.9,1.5,1.5
134,BANGLADESH,South Asia,64,66,82,77,79,94,94,97,102,100,99,75,102,..,..,94.7,111,114,70.9,93.1,101.2,146.8,191.6,216.7,273
135,BANGLADESH,Other not classified,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.1,20.4,20.3,12.2,14.6,8.6,12.7,17.1,18.9,19
137,BARBADOS,Africa,..,..,..,..,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1.3,1.5,2,1.7,1.7,1.7,1.3
138,BARBADOS,Americas,238,239,245,255,264,278,256,275,292,301,311,312,303,309,292,313,337,318,291.6,280.8,327.5,364.8,393.7,409,319.4
139,BARBADOS,East Asia and the Pacific,3,2,1,2,4,2,2,2,4,3,3,3,10,4,3,4,4,4,3.6,4,4.9,4.7,5.6,5.5,3
140,BARBADOS,Europe,195,201,221,252,245,262,247,219,234,246,230,241,251,250,219,211,224,210,208.5,230.5,255.2,258.4,259.7,259.7,196.3
141,BARBADOS,Middle East,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6,0.8,0.3
142,BARBADOS,South Asia,..,..,..,..,..,..,..,1,..,1,1,1,4,1,1,2,1,1,1.1,1.1,1.2,1,1.6,1.4,1.1
143,BARBADOS,Other not classified,6,5,5,4,..,..,..,..,..,..,1,4,3,2,2,1,1,2,2.4,2.8,1.5,1.3,0.6,2.1,1.3
145,BELARUS,Africa,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7,1.9,3.2,2.3,2.3,2.3,4.2,4.2
146,BELARUS,Americas,5.4,8,9.2,10,2.5,3,5,3,4,6,5,4,6,1.4,1,1,1,11.4,11.4,11.4,12,12.8,18.7,35.6,35.2
147,BELARUS,East Asia and the Pacific,1.2,3,2.3,4,0.4,1,1,3,2,2,2,2,2,1.1,1,1,4,13.9,17.6,16.6,22.3,24.1,25.8,45.7,64
148,BELARUS,Europe,154,222,241,339,72,56,55,57,58,59,82,81,95,88,92,116.3,110,5983.9,6100,5246.1,4265.3,10820,10927.6,11296.1,11603.4
149,BELARUS,Middle East,..,1,1,1,..,..,..,..,..,..,1,1,1,..,..,1,..,7,7.9,8.1,8.3,7.4,12.9,19.4,25
150,BELARUS,South Asia,..,..,..,..,..,..,..,..,..,..,1,1,1,..,..,..,..,7,7.6,7,8,7.9,9.2,12,11.8
151,BELARUS,Other not classified,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,1,105,95.4,82.5,67.4,60.9,63.7,88.6,88.5
153,BELGIUM,Africa,56,63,63,61,57,64,64,60,63,61,62,65,62,63,63,61,62,61,64,66.4,65.3,64.2,69.6,74.6,75.2
154,BELGIUM,Americas,373,389,411,420,434,449,428,400,369,382,390,407,421,399,375,429,489,505,517,566.4,602.5,493.4,621.3,703.9,742.3
155,BELGIUM,East Asia and the Pacific,230,266,286,267,287,297,268,348,294,318,298,305,302,268,238,256,307,367,398,437.1,498.3,343,428.9,486.6,503.9
156,BELGIUM,Europe,4827,5046,5197,5364,5522,5550,5592,5798,5847,5800,5836,6036,6061,6187,5956,6310,6523,6508,6560,6657.5,7017.6,6399.5,6977.7,7526.5,7676.7
157,BELGIUM,Middle East,15,16,18,19,18,20,19,18,18,18,20,21,20,22,20,26,31,36,40,48.1,59.1,45.3,57.2,73,74.3
158,BELGIUM,South Asia,22,30,28,17,19,23,27,39,32,33,35,33,44,64,47,52,55,52.5,56,66.5,78.1,61.6,66.5,76.9,69.5
159,BELGIUM,Other not classified,37,18,34,31,31,54,54,57,67,97,106,128,134,161,116,52,27,30.5,49,45.4,33.8,74.4,163.4,177.4,201.4
161,BELIZE,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.7,0.6,0.5,0.5,0.4,0.5,0.6,0.6,0.7,0.8,0.8
162,BELIZE,Americas,314,323,276,116,122,150,150,154,175,185,190,199,202,196,188,196,203,227,240.3,257.4,272.4,314.4,349.8,402.6,412.6
163,BELIZE,East Asia and the Pacific,5,5,4,..,..,3,4,3,4,4,4,5,5,5,5,6,6,7,7.9,8.1,9.7,10.9,11,13.2,13
164,BELIZE,Europe,41,39,47,26,26,28,30,29,34,33,33,34,34,34,30,30,30,29,32.2,38.9,40.9,42.6,50.1,59.3,59.5
165,BELIZE,Middle East,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6,0.4,0.9,0.6,1.3,1.9,2.5,2.4,2.2,2,2.8,3.4
166,BELIZE,South Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
167,BELIZE,Other not classified,..,..,..,34,33,14,13,12,8,8,8,8,9,9,8,8.8,10,12,11.5,13.9,15.2,14.9,13.5,10.5,13.9
169,BENIN,Africa,90,..,..,..,55.4,50.1,50.2,49.4,148.6,147.5,140.2,152,153,117.9,90.8,138,125.7,135.3,134,136.6,154.3,151.6,157.4,158,162.3
170,BENIN,Americas,5,..,..,..,2,4.7,0.6,1.3,0.5,0.4,0.5,1,2.3,3.9,5.1,3.2,3.1,4.6,8,9,10.4,9.6,11.5,12,12.1
171,BENIN,East Asia and the Pacific,3,..,..,..,0.7,0.5,0.5,0.2,0.2,0.3,0.3,0.6,0.8,1.6,0.9,0.8,1.1,2.7,6.2,11.7,10.1,10,13.7,15,15.3
172,BENIN,Europe,40,..,..,..,21.6,39.9,36.2,21.1,25.4,25.2,31.5,22.3,26.3,50.7,35.4,32.9,57.1,54.3,50,49.6,50.2,48.9,57.8,60,61.1
173,BENIN,Middle East,..,..,..,..,0.3,0.6,0.2,0.2,0.1,0.1,0.5,0.6,1.8,0.3,0.4,2.4,2.7,2.9,3.7,6.4,4.8,5.3,5.3,6,5.9
174,BENIN,South Asia,..,..,..,..,0.3,0.3,0.3,0.1,0.1,0.1,3,3.5,2.2,0.7,0.5,0.8,1.1,1.1,1.7,2.6,2.9,1.5,2.9,5,5.3
175,BENIN,Other not classified,..,..,..,..,..,..,..,..,..,..,..,..,..,12.8,57,21.4,18.7,19,27,26.5,22,40.4,32.1,38.6,47.4
177,BERMUDA,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
178,BERMUDA,Americas,349,351,339,324,311,287,241,244,222,236,233,255,257,217,198,196,202,199,198.8,188.6,182.1,206.6,225.7,241.9,230.2
179,BERMUDA,East Asia and the Pacific,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.9,0.9,1.3,1.6,1.2,1
180,BERMUDA,Europe,30,30,32,37,36,36,29,31,26,26,27,32,36,35,29,28,27,26,28.8,28.3,29.5,28.9,32.3,29.4,29.6
181,BERMUDA,Middle East,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
